,January,Feburary,March,April,May,June,July,August,September,October,November,December
2000,1.223,1.089,3.29,2.612,3.568,6.092,0.778,0.222,1.067,3.964,6.074,2.423
2001,2.795,3.328,4.213,0.888,3.914,3.122,0.836,3.279,3.462,2.093,3.27,2.866
2002,1.45,1.382,3.244,2.353,2.664,2.62,4.123,1.851,2.019,6.194,1.691,4.008
2003,0.373,2.696,1.149,1.151,2.177,5.558,1.16,2.179,3.055,1.885,1.94,0.885
2004,2.256,3.781,2.357,3.867,2.408,7.337,2.853,3.384,2.04,4.366,6.922,1.092
2005,2.365,2.512,1.84,0.974,2.804,1.553,2.857,4.307,1.542,1.44,0.727,0.426
2006,1.58,1.772,3.122,2.009,2.452,1.942,1.683,2.537,2.847,4.775,1.261,3.004
2007,3.582,0.646,5.103,2.222,6.344,6.572,4.256,2.573,2.66,1.366,1.416,1.84
2008,0.803,1.682,3.579,2.62,3.229,2.55,1.408,4.824,2.972,2.838,1.365,0.661
2009,0.624,0.883,2.915,3.981,2.89,2.272,4.317,1.968,4.679,7.08,0.973,2.13
2010,2.434,2.706,2.542,2.866,2.192,3.17,4.519,1.329,4.139,1.334,1.424,0.923
2011,1.666,1.033,0.318,1.306,2.328,1.048,0.586,0.828,1.253,2.833,1.758,3.584
2012,3.036,2.389,3.965,1.593,2.344,2.693,2.316,2.275,4.031,0.821,0.28,1.415
2013,2.782,1.764,1.08,1.818,2.621,2.708,3.616,1.523,3.796,3.787,2.147,1.8
2014,0.411,0.915,1.177,1.44,4.472,3.933,3.398,1.689,2.928,2.323,2.729,1.229
2015,3.125,1.582,3.317,4.736,11.15,4.115,2.405,1.512,1.048,7.033,5.438,3.674
2016,0.801,1.332,3.396,5.72,5.534,3.629,1.583,5.476,2.817,1.005,2.815,1.712
2017,2.91,1.903,1.869,3.569,2.906,3.854,3.128,6.998,2.425,1.491,,